step,epoch,loss,cosine,pred_norm,target_norm,lr,ema
68,1,0.007083824835717678,,,,5.175e-07,1.0
69,1,0.007043026853352785,,,,5.25e-07,1.0
70,1,0.007054501213133335,,,,5.325e-07,1.0
71,1,0.007028185762465,,,,5.4e-07,1.0
72,1,0.007032149471342564,,,,5.475e-07,1.0
73,1,0.007020906545221806,,,,5.550000000000001e-07,1.0
74,1,0.0070273480378091335,,,,5.625e-07,1.0
75,1,0.00699218176305294,,,,5.699999999999999e-07,1.0
76,1,0.0070107476785779,,,,5.775e-07,1.0
77,1,0.006999392993748188,,,,5.85e-07,1.0
78,1,0.006994145922362804,,,,5.925e-07,1.0
79,1,0.006984747014939785,,,,6.000000000000001e-07,1.0
80,1,0.007003822363913059,,,,6.075e-07,1.0
81,1,0.006967852357774973,,,,6.149999999999999e-07,1.0
82,1,0.006976439617574215,,,,6.225e-07,1.0
83,1,0.006918715313076973,,,,6.3e-07,1.0
84,1,0.0069663384929299355,,,,6.375e-07,1.0
85,1,0.006950917653739452,,,,6.450000000000001e-07,1.0
86,1,0.006938699167221785,,,,6.525e-07,1.0
87,1,0.006974897813051939,,,,6.6e-07,1.0
88,1,0.006929836235940456,,,,6.675000000000001e-07,1.0
89,1,0.00696465652436018,,,,6.75e-07,1.0
90,1,0.006953203584998846,,,,6.825e-07,1.0
91,1,0.0069318246096372604,,,,6.9e-07,1.0
92,1,0.006912644021213055,,,,6.975e-07,1.0
93,1,0.006887771189212799,,,,7.05e-07,1.0
94,1,0.006891688331961632,,,,7.125000000000001e-07,1.0
95,1,0.006837520748376846,,,,7.200000000000001e-07,1.0
96,1,0.0068872906267642975,,,,7.275e-07,1.0
97,1,0.006866108160465956,,,,7.35e-07,1.0
98,1,0.006807398982346058,,,,7.425e-07,1.0
99,1,0.006846063770353794,,,,7.5e-07,1.0
100,1,0.006794118322432041,,,,7.575000000000001e-07,1.0
101,1,0.006817425601184368,,,,7.650000000000001e-07,1.0
102,1,0.006818796508014202,,,,7.725e-07,1.0
103,1,0.00683470256626606,,,,7.799999999999999e-07,1.0
104,1,0.006806064397096634,,,,7.875e-07,1.0
105,1,0.006755550391972065,,,,7.95e-07,1.0
106,1,0.006783554796129465,,,,8.025e-07,1.0
107,1,0.00678496528416872,,,,8.100000000000001e-07,1.0
108,1,0.006750047672539949,,,,8.175e-07,1.0
109,1,0.006756334565579891,,,,8.25e-07,1.0
110,1,0.00674696359783411,,,,8.325e-07,1.0
111,1,0.006723760161548853,,,,8.4e-07,1.0
112,1,0.006690293550491333,,,,8.475e-07,1.0
113,1,0.006728778593242168,,,,8.550000000000001e-07,1.0
114,1,0.006729038432240486,,,,8.625e-07,1.0
115,1,0.006713869050145149,,,,8.7e-07,1.0
116,1,0.0066781300120055676,,,,8.775000000000001e-07,1.0
117,1,0.006651092320680618,,,,8.85e-07,1.0
118,1,0.006686057895421982,,,,8.925e-07,1.0
119,1,0.0066573740914464,,,,9e-07,1.0
120,1,0.006639430299401283,,,,9.075e-07,1.0
121,1,0.006610956974327564,,,,9.15e-07,1.0
122,1,0.006625424604862928,,,,9.225000000000001e-07,1.0
123,1,0.006651726551353931,,,,9.300000000000001e-07,1.0
124,1,0.006634690798819065,,,,9.375e-07,1.0
125,1,0.006551623810082674,,,,9.45e-07,1.0
126,1,0.006558576133102179,,,,9.525e-07,1.0
127,1,0.006586302071809769,,,,9.600000000000001e-07,1.0
128,1,0.006609746254980564,,,,9.675e-07,1.0
129,1,0.006525661796331406,,,,9.75e-07,1.0
130,1,0.0065452903509140015,,,,9.825000000000001e-07,1.0
131,1,0.006531701423227787,,,,9.9e-07,1.0
132,1,0.0065927766263484955,,,,9.975000000000002e-07,1.0
133,1,0.006553345359861851,,,,1.0050000000000001e-06,1.0
134,1,0.00649319589138031,,,,1.0125e-06,1.0
135,1,0.006515043321996927,,,,1.02e-06,1.0
136,1,0.00647397805005312,,,,1.0275e-06,1.0
137,1,0.006483233999460936,,,,1.035e-06,1.0
138,1,0.006499111652374268,,,,1.0425e-06,1.0
139,1,0.006440913304686546,,,,1.05e-06,1.0
140,1,0.006470542401075363,,,,1.0575e-06,1.0
141,1,0.0064233699813485146,,,,1.065e-06,1.0
142,1,0.006424782797694206,,,,1.0725000000000001e-06,1.0
143,1,0.00646746251732111,,,,1.08e-06,1.0
144,1,0.0063896020874381065,,,,1.0875e-06,1.0
145,1,0.0064223771914839745,,,,1.095e-06,1.0
146,1,0.006363860797137022,,,,1.1025e-06,1.0
147,1,0.006359226536005735,,,,1.1100000000000002e-06,1.0
148,1,0.006382479332387447,,,,1.1175e-06,1.0
149,1,0.006370814051479101,,,,1.125e-06,1.0
150,1,0.006278657354414463,,,,1.1325e-06,1.0
151,1,0.00632762536406517,,,,1.1399999999999999e-06,1.0
152,1,0.006302035879343748,,,,1.1475e-06,1.0
153,1,0.006287158466875553,,,,1.155e-06,1.0
154,1,0.006282792426645756,,,,1.1625e-06,1.0
155,1,0.006291828118264675,,,,1.17e-06,1.0
