fold,epoch,train_loss,pearson,spearman,r2
,1,0.07036139834487792,0.19745631515979767,0.17252647876739502,0.0014339089393615723
,2,0.04747602295609984,0.46374422311782837,0.43410611152648926,0.20936810970306396
,3,0.03615895415296649,0.5919470191001892,0.5898512005805969,0.34613263607025146
,4,0.03063247789914655,0.6577866077423096,0.6456575989723206,0.36577898263931274
,5,0.030012018259356517,0.6781877279281616,0.6656252145767212,0.44664329290390015
,6,0.0274750392256987,0.712169885635376,0.7034631371498108,0.5064563751220703
,7,0.026149885009716052,0.7207045555114746,0.7118080258369446,0.47233062982559204
,8,0.024918745742133347,0.7153260707855225,0.7054932713508606,0.48528218269348145
,9,0.02504290354502673,0.7217212915420532,0.7161746621131897,0.5159716606140137
,10,0.023684385038986063,0.7282500267028809,0.7221342921257019,0.5123704671859741
,11,0.02304717924187679,0.7224135398864746,0.7165734767913818,0.5181993842124939
,12,0.022158913360447577,0.7117727994918823,0.7081305384635925,0.4929671287536621
,13,0.021604075954102055,0.725415050983429,0.7174462676048279,0.48978543281555176
,14,0.0211138178935588,0.7258881330490112,0.7242749929428101,0.5192736387252808
,15,0.020650418659690584,0.7121090292930603,0.7022958397865295,0.4482607841491699
,16,0.019342058190688637,0.720975399017334,0.7144110798835754,0.4004738926887512
,17,0.01962974363255619,0.7035016417503357,0.6962464451789856,0.4876207709312439
,18,0.01888243715730634,0.7221195697784424,0.7214672565460205,0.4221600294113159
,19,0.01907348453002696,0.687133252620697,0.6849461793899536,0.46324360370635986
,20,0.017421390391001018,0.7062069177627563,0.6984146237373352,0.45803940296173096
,21,0.016969603873641773,0.6997278928756714,0.6967401504516602,0.4242701530456543
,22,0.01655045220868127,0.6752936244010925,0.6724082827568054,0.44209831953048706
,23,0.01592277005167291,0.7158178091049194,0.7031142115592957,0.4230778217315674
,24,0.015144675628899937,0.7298323512077332,0.7217406034469604,0.4719001054763794
,25,0.014897889015034284,0.7044663429260254,0.7000167369842529,0.40860146284103394
,26,0.014623531758195103,0.6836520433425903,0.6747370958328247,0.4385194778442383
,27,0.013469276544038612,0.6825758814811707,0.6742920279502869,0.43335044384002686
,28,0.012522176894737353,0.6870077252388,0.6754322052001953,0.430216908454895
,29,0.01241132615152562,0.7081031203269958,0.6983957290649414,0.4143228530883789
,30,0.012650669773690181,0.6917054057121277,0.6828054785728455,0.4139837622642517
,31,0.011486858830298527,0.6862489581108093,0.6820497512817383,0.3492701053619385
,32,0.011832161456125208,0.6928257346153259,0.6743254065513611,0.43352842330932617
,33,0.01139753220584428,0.6969539523124695,0.6937201619148254,0.4008517265319824
,34,0.010931269855856305,0.7115854620933533,0.7031717896461487,0.4670267105102539
,35,0.010314321122362767,0.7027454376220703,0.6859427690505981,0.4337218403816223
,36,0.009445885039570898,0.6862285733222961,0.6737500429153442,0.40431511402130127
,37,0.00949679799193498,0.6952065825462341,0.6783732175827026,0.416236937046051
,38,0.009078566888623898,0.6868812441825867,0.6937326788902283,0.33822232484817505
,39,0.008587924118089204,0.6854703426361084,0.6650219559669495,0.3912176489830017
,40,0.008160372956259416,0.7117505669593811,0.6968243718147278,0.43968480825424194
,41,0.007392393314454815,0.7088383436203003,0.6842479705810547,0.48647671937942505
,42,0.007411306889930574,0.6807141900062561,0.6731964349746704,0.34677278995513916
,43,0.007735547342217795,0.6972659230232239,0.6878712177276611,0.4281361699104309
,44,0.007139992881750707,0.6808407306671143,0.6701892614364624,0.4167757034301758
,45,0.007326330274970519,0.6820899844169617,0.6718974709510803,0.38203561305999756
,46,0.006977648995263447,0.6956381797790527,0.6893501877784729,0.4290297031402588
,47,0.006415935615907506,0.695720911026001,0.6782953143119812,0.3658563494682312
,48,0.006412888761831097,0.6916298866271973,0.6737818717956543,0.3745434880256653
,49,0.006082281659329587,0.709021270275116,0.6950432062149048,0.42077064514160156
,50,0.005606693160342108,0.6794987916946411,0.661061704158783,0.42043769359588623
